site,Observer,date,year,month,day,time,hour,minutes,interval,num.arrive,num.depart,net.arrival
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,50,,50
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,120,,120
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,30,,30
botany_point,Felicia Sanders,4-May-19,2019,5,4,19:53,19,53,19:30,20,,20
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:07,20,7,20:00,10,,10
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:07,20,7,20:00,90,,90
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:07,20,7,20:00,100,,100
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:07,20,7,20:00,10,,10
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:07,20,7,20:00,45,,45
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:07,20,7,20:00,120,,120
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:07,20,7,20:00,50,,50
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,30,,30
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,10,,10
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,25,,25
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,50,,50
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,50,,50
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,10,,10
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,15,,15
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,45,,45
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,40,,40
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,150,,150
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,100,,100
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,60,,60
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,70,,70
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,15,,15
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,300,,300
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,100,,100
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,20,,20
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,200,,200
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,150,,150
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,10,,10
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,50,,50
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,20,,20
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,20,,20
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,150,,150
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,60,,60
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,10,,10
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,50,,50
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,90,,90
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:18,20,18,20:00,60,,60
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:30,20,30,20:30,300,,300
botany_point,Felicia Sanders,4-May-19,2019,5,4,20:39,20,39,20:30,0,,0
front_beach,Maina Handmaker,5-May-19,2019,5,5,18:38,18,38,18:30,42,,42
front_beach,Maina Handmaker,5-May-19,2019,5,5,18:44,18,44,18:30,4,,4
front_beach,Maina Handmaker,5-May-19,2019,5,5,18:46,18,46,18:30,10,,10
front_beach,Maina Handmaker,5-May-19,2019,5,5,18:48,18,48,18:30,30,,30
front_beach,Maina Handmaker,5-May-19,2019,5,5,18:50,18,50,18:30,6,,6
front_beach,Maina Handmaker,5-May-19,2019,5,5,18:52,18,52,18:30,12,,12
front_beach,Maina Handmaker,5-May-19,2019,5,5,18:55,18,55,18:30,15,,15
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:01,19,1,19:00,110,,110
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:03,19,3,19:00,160,,160
